anime_id,title,tags
0,"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi",short episode bundled with the limited edition release of bungaku shoujo minarai no shoushin comedy fantasy school productioni.g
1,"""Bungaku Shoujo"" Memoire",episodes which depict the background stories of bungaku shoujo movie main heroines drama romance school productioni.g
2,"""Bungaku Shoujo"" Movie",the protagonist of the story konoha inoue is a seemingly normal senior high nd year student his high school life other than a hinted incident years ago can be summed up as normal if one can dismiss the secret fact that he used to be a female bestselling romance author due to that incident however he has now vowed never to write again this continued on until he was forced to join the literary club by the literary club president the rd year female student amano tooko a beautiful girl who has a taste for eating literary works now he has been tasked with writing her snack every day after school mystery drama romance school productioni.g
3,My Star,in the entertainment world celebrities often show exaggerated versions of themselves to the public concealing their true thoughts and struggles beneath elaborate lies fans buy into these fabrications showering their idols with undying love and support until something breaks the illusion sixteen year old rising star ai hoshino of pop idol group b komachi has the world captivated however when she announces a hiatus due to health concerns the news causes many to become worried as a huge fan of ai gynecologist gorou amemiya cheers her on from his countryside medical practice wishing he could meet her in person one day his wish comes true when ai shows up at his hospital not sick but pregnant with twins while the doctor promises ai to safely deliver her children he wonders if this encounter with the idol will forever change the nature of his relationship with her drama music supernatural seinen dogakobo
4,.hack//G.U. Returner,the characters from previous hack g u games and hack roots receive an email from ovan he is requesting them to go to hidden forbidden festival where is set up a mysterious summer festival there they find an aida chim chim who wishes to peacefully co exist with the other players of the world it then transforms into the word returner so they assume it to mean that ovan will return to the world adventure drama fantasy game magic sci-fi beetrain
5,.hack//G.U. Trilogy,based on the cyberconnect hit game now will be released in a cg movie the movie will be placed in the storyline of each hack g u games trilogy the story follows haseo a player in the online mmorpg called the world r at first depicted as a pkk player killer killer known as the terror of death a former member of the disbanded twilight brigade guild haseo encounters azure kite believing him to be tri edge and blaming him for what happened to shino but is hopelessly outmatched azure kite easily defeats haseo and data drains him reducing his level from to and leaving him without any items weapons or member addresses he is left with a mystery on his hands as to the nature of the data drain and why azure kite is in possession of such a skill eventually haseo gains the avatar of skeith acquiring the ability to call skeith and wield his abilities such as data drain with skeith as his strength haseo begins the quest for a way to save shino he is seen seeking out a pk player killer known as tri edge whose victims supposedly are unable to return to the world after he pks them haseo friend shino was attacked six months prior to the events of the game by tri edge and the player herself shino nanao was left in a coma action fantasy game sci-fi cyberconnect2
6,.hack//Gift,as an expression of gratitude for the heroes of both the hack sign and the hack game series helba has prepared a special event for all the characters to find the newly established twilight hot springs the characters can get their well deserved rest and relaxation by having a soak in the wonderful hot springs but there is only one problem the hot springs are hidden and there have been mysterious player murders with the only clue being the word gift the race has begun to find the culprit and the location of the hot springs comedy fantasy game beetrain
7,.hack//Intermezzo,a virtual multiplayer online role playing game exists known as the world in the world there is an event held in the dungeon of nankoflank that mimiru a character in the game undertakes with bear another character of the game mimiru confesses to bear that she not doing the event for the treasures or experiences but for the memories and experiences of when she had first started playing the two later meet a certain character named mimika and together the three proceed through quests and events as mimiru learns the meaning of the game adventure mystery fantasy game magic sci-fi beetrain
8,.hack//Liminality,while playing the newly released mmorpg the world minase mai and tomonari kasumi collapsed in the real world and were sent to the hospital after hearing a mysterious sound only mai had recovered while her friend kasumi had slipped into a mysterious coma mai is later approached by the creator of the world tokuoka junichiro who unveils to her that just like her friend six other players across the country had also collapsed while playing the world and are now in mysterious comas what exactly is the world what is this mysterious sound mai keeps on hearing and why are people slipping into comas from this game minase junichiro and their acquaintances set off to get to the bottom of this problem before any further harm happens mystery game sci-fi beetrain
9,.hack//Quantum,tobias mary and sakuya challenge the impregnable the one sin but they lose their way in the maze and unintentionally trap other guild members a mysterious cat is watching their blunder is it another player character or npc action adventure fantasy game sci-fi kinemacitrus
10,.hack//roots,after the termination of the incredibly popular virtual reality mmorpg the world a new version of the game the world r is brought online on his first day in the game newcomer haseo thinks he has made some friends to quest with however as if mocking his sentiments they kill his character just for fun luckily he is saved by a mysterious one armed player named ovan who offers to show him around the world alongside ovan and his cleric friend shino haseo enjoys a wonderful first year in the game but this peaceful life is shattered when shino character is killed by a familiar figure notoriously known as tri edge whose victims have all fallen into comas in the real world in a fit of rage haseo vows to find the elusive tri edge and kill him taking place during haseo first year in the world hack roots explores the friendships haseo built in the game before tri edge ripped them away adventure drama fantasy game sci-fi beetrain
11,.hack//Sign,a young wavemaster only known by the alias of tsukasa wakes up in an mmorpg called the world with slight amnesia he does not know what he has previously done before he woke up in the world the crimson knights suspects him of being a hacker as he was seen accompanying a tweaked character in the form of a cat unable to log out from the game he wanders around looking for answers avoiding the knights and other players he meets along the way as tsukasa explores the world he stumbles upon a magical item that takes the form of a guardian which promises him protection from all harm subaru the leader of the crimson knights along with several other players who became acquainted with tsukasa set out to investigate why tsukasa is unable to log out and attempt to get to the bottom of the problem before it gets out of hand adventure mystery fantasy game magic sci-fi beetrain
12,.hack//Legend Of The Twilight,winning the legendary characters kite and black rose from an event held by the creators of the mmorpg the world shugo and his twin sister rena steps into the world together they completed events and quests along with their new friends ouka mirelle hotaru and sanjuro soon after mysterious monsters appeared and death by these monsters caused players to slip into a coma in the real world only shugo and rena can solve this problem but why are they being targeted and what secrets is the game hiding adventure comedy fantasy game sci-fi shounen beetrain
13,.hack//Beyond the World,in the computer network prevails throughout daily life sora yuuki is a year old girl one day she is invited to an online game the world after an accident in the game the real world begins to deform action adventure mystery fantasy game magic sci-fi anima
14,.hack//Unison,somewhere in the mmorpg called the world a group is gathered at a pub awaiting the start of an event there old friends and acquaintances are reunited including those who rarely log on some are even forging new relationships for the first time together invited by the hacker helba the group leaves for the event in the net slums where a celebration awaits them all adventure comedy fantasy game magic sci-fi beetrain
15,009 Re:Cyborg,nine regular humans from different parts of the world are abducted and transformed into cyborgs with astounding powers for the purpose of being used as weapons the nine cyborgs rebel and start to fight against their creators in the name of justice and world peace decades later the nine cyborgs seem to be untouched by time but they live in a world where justice has as many nuances as the number of people living on the planet what is their place in the world now in the beginning was the voice and the word was him and all obeyed his word in great awe but those who dwelt upon the land through vanity cunning and greed attempted to build a multitude of towers whose tops reached unto heaven and accumulated great wealth on earth scattering across the land and laying it to waste man turned a deaf ear to his voice so he gave unto man an opportunity to atone for his misdeeds and flame and smoke and the roar of a lion descended upon earth and shattered the many towers to dust action adventure mecha sci-fi productioni.g
16,009-1,mylene hoffman a beautiful cyborg spy with the codename lives in an alternative world where the cold war never ended continuously on going for years the world is split into two factions the west and the east block a masquerade of peace between the two is slowly dissipated as the conflict occurs through politics the two factions battle over supremacy over technology to threats of a nuclear attack mylene hoffman teaming up with three other agent gets surrounded by deception chaos and rivalry as she carries out missions assigned by her superiors action mecha sci-fi seinen ishimorientertainment
17,07-Ghost,barsburg empire military academy is known for training elites who bring victory to the empire students of the academy freely utilize an ability called zaiphon to fight while the types of zaiphon usable depends on the nature of the soldier teito klein a student at the academy is one of the most promising soldiers produced although ridiculed by everyone for being a sklave german for slave with no memories of his past he is befriended by a fellow student called mikage while preparing for the final exam teito uncovers a dark secret related to his past when an attempt to assassinate ayanami a high ranking official who killed his father fails teito is locked away awaiting punishment only wanting the best for teito mikage helps him escape teito ends up at the th district church where he is taken in by the bishops it is here that teito attempts to evade the grasp of ayanami and the military so he can rediscover his memories and learn why he is the person that can change the fate of the world action demons fantasy magic military josei studiodeen
18,100% Teacher Pascal,the story centers around an elementary school teacher who is so stupid that he cannot even write his own name he does whatever he likes in his classroom plus by all appearances he is not human source ann comedy olm
19,"I'm standing on 1,000,000 lives.",yotsuya yuusuke along with his classmates shindou iu and hakozaki kusue have been transported to a strange and unknown world inhabited by mythological creatures as soon as they arrive they meet somebody calling himself the game master who then grants them a time limited quest to aid them in this quest he also bestows shindou and hakozaki with the roles of a magician and a warrior while yotsuya is randomly granted the role of a farmer this is how a hectic life of adventuring began for three students who now have no choice but to complete random quests for several phases in the fantasy world if they want to stay alive and protect the real world from the demons and monsters they encounter source mu action drama fantasy game shounen isekai mahofilm
20,11eyes,when the sky turns red the moon turns black and monsters begin roaming the streets satsuki kakeru is at a loss for what to do along with his best friend yuka they try to decipher why they have been sent to this strange world which is seemingly empty aside from themselves however when the red night ends kakeru and yuka believed it was all a dream until it happens again and they are left in a dangerous situation they meet four others in the same predicament kusakabe misuzu an expert swordswoman tachibana kukuri a strange mute girl who looks uncannily like kakeru deceased sister hirohara yukiko a lively young girl whose personality reverts to that of a cold killer when her glasses are removed and tajima takahisa a young pyrokineticist as the six of them band together to survive and discover what this mysterious world is things take a turn for the worse as six shadows appear before them action ecchi superpower supernatural dogakobo
21,Age 12.,reaching a period of life where they are neither a child nor an adult year old hanabi ayase and aoi yui meet with life changing events due to the mischievous demeanor of her male classmates ayase does not think highly of the opposite sex however her perspective begins to change after she is paired with the kind hearted takao yuuto for a class assignment and unexpectedly shared their first kisses with each other on the school rooftop with her best friend discovering love aoi yearns to seek her own she finds herself falling in love with the rash kazuma hiyama after protecting her from a rejected suitor who had talked behind her back sai chicchana mune no tokimeki follows the four in this phase of adolescence as they grow up alongside each other this sweet romance depicts the innocence and excitement of first love romance school shoujo olm
22,Age 12.: 2nd Season,the story begins with hanabi a sixth grade girl who is neither an adult nor a child she deals with issues such as accidentally witnessing her homeroom teacher kissing and worrying about experiencing physiological changes before her friends the series depicts a year old girl innocent worries and first love source ann romance school shoujo olm
23,Can I Make Your Ears Happy in 180 Seconds?,asmr or autonomous sensory meridian response is the nerve tingling or relaxing response and sensation one gets to stimuli such as certain sounds or sights as the title indicates the anime will let viewers experience asmr in seconds in the story the heroine challenges her classmates to share in her hobby of recording asmr works source ann sliceoflife ekachiepilka
