anime_id,url,poster,title,overview,score,anime_studio,producer,genres
0,https://aniwaves.ru/watch/you-shou-yan-5th-season-82509,https://static.aniwaves.ru/resources/thumbnails/200x280/100/be27a80191585ec03649a0ca51cb0ba1.jpg,Fabulous Beasts 5th Season,Fifth season of You Shou Yan.,,['Fenz'],['bilibili'],"['Comedy', 'Fantasy']"
1,https://aniwaves.ru/watch/xian-ni-73347,https://static.aniwaves.ru/resources/thumbnails/200x280/100/92491af89236ddd4fba1c6cea3f890ec.jpg,Renegade Immortal,"Wang Lin is a very smart boy with loving parents. Although he and his parents are shunned by the rest of their relatives, his parents have always held high hopes that he will one day achieve greatness. One day, Wang Lin suddenly gained the chance to walk the path of an immortal but found that he only had mediocre talent at best. Watch Wang Lin as he breaks through his lack of talent and walks the path towards becoming a real immortal!(Source: Xian Ni Wiki)",8.0,['BUILD DREAM'],['Tencent Penguin Pictures'],"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']"
2,https://aniwaves.ru/watch/one-piece-81553,https://static.aniwaves.ru/resources/thumbnails/200x280/100/65b9eea6e1cc6bb9f0cd2a47751a186f.jpg,One Piece,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it.The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many.As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure.",9.0,['Toei Animation'],"['Fuji TV', 'TAP']","['Action', 'Adventure', 'Fantasy', 'Shounen']"
3,https://aniwaves.ru/watch/shunkashuutou-daikousha-haru-no-mai-82518,https://static.aniwaves.ru/resources/thumbnails/200x280/100/81c93c0e786b5c677af454c4e4919347.jpg,Agents of the Four Seasons: Dance of Spring,"Winter was once the only season in the world-but such an existence was too lonely to bear, and so it created Spring to love. Before long, the earth wished for more time to rest in the cycle, and Summer and Autumn were born. The ones who carry the cycle are called the Agents of the Four Seasons. Hinagiku, the Agent of Spring, disappeared from this land ten years ago, taking the season of spring with her. Now, after incredible hardship, she has returned to restore the cycle to its proper state-and, as in the myth passed down since the dawn of time, she sends her love to Winter.(Source: Yen Press)",8.0,['Wit Studio'],"['Aniplex', 'Tohokushinsha Film Corporation', 'Tokyo MX', 'JR East Marketing & Communications', 'Kadokawa']","['Drama', 'Fantasy', 'Romance', 'Urban Fantasy']"
4,https://aniwaves.ru/watch/kuroneko-to-majo-no-kyoushitsu-82585,https://static.aniwaves.ru/resources/thumbnails/200x280/100/89231a53e26c2cc6bebfbb3add9c48df.jpg,The Classroom of a Black Cat and a Witch,"The Royal Diana Academy is a prestigious school that accepts individuals with adept magical abilities. Upon graduation, these students find themselves at the top of their field or employed by the royal family. Spica Virgo dreams of studying at the academy, aiming to be a top-rate sorceress like her idol Claude Sirius. Claude is a world-renowned sorcerer who became the institution's youngest instructor, but mysteriously disappeared soon after.Lacking the experience and connections required for admission, Spica finds herself unable to make meaningful progress with her training. One day, however, she meets a talking black cat with magical abilities. Hoping to change the situation for the better, she begs the animal to take her as his apprentice and teach her the magic she needs to attend the academy. The cat accepts the deal on one condition—she must find a way to reverse his feline curse. Despite the arduous challenges ahead of her, Spica is determined to prove herself as a student worthy of the cat's mentorship.",,['LIDENFILMS'],['Sonilude'],"['Comedy', 'Fantasy', 'School']"
5,https://aniwaves.ru/watch/diamond-no-ace-act-ii-second-season-82551,https://static.aniwaves.ru/resources/thumbnails/200x280/100/355fe084fac819aa1cb0b2f1a9f06603.jpg,Ace of Diamond Act II Season 2,Sequel to Diamond no Ace: Act II.,8.0,['OLM'],"['TV Tokyo', 'Pony Canyon', 'Kodansha', 'AT-X', 'DAX Production', 'DMM.com', 'MAGNET', 'Tokyu Agency']","['Sports', 'School', 'Team Sports', 'Shounen']"
6,https://aniwaves.ru/watch/xian-wang-de-richang-shenghuo-5-82426,https://static.aniwaves.ru/resources/thumbnails/200x280/100/dfb0db862931f84903dcd590c310a5a9.jpg,The Daily Life of the Immortal King 5,"Wang Ling's family life is turned upside down with the arrival of a little sister, Wang Nuan. Immortal King Wang Ling vows to teach Wang Nuan to control her strength. In doing so, her strength catches the attention of Ye Kui, a sinister organization, and Bai Zhe, a high-level prisoner of the Mysterious Prison. Wang Ling decides to bring Wang Nuan along and teach these villains a lesson!(Source: Amazon Prime Video)",8.0,['Liyu Culture'],['bilibili'],"['Adventure', 'Comedy', 'Fantasy', 'School']"
7,https://aniwaves.ru/watch/yozakura-san-chi-no-daisakusen-2nd-season-82584,https://static.aniwaves.ru/resources/thumbnails/200x280/100/fda35f1c71e34ea2c65adac1eb4626d0.jpg,Mission: Yozakura Family Season 2,Second season of Yozakura-san Chi no Daisakusen.,,['SILVER LINK.'],['NBCUniversal Entertainment Japan'],"['Action', 'Comedy', 'Shounen']"
8,https://aniwaves.ru/watch/doupo-cangqiong-nian-fan-79746,https://static.aniwaves.ru/resources/thumbnails/200x280/100/f1adc566d2d3310871f34b1de8118f96.jpg,Battle Through The Heavens Season 5,Fifth season of Doupo Cangqiong.,8.0,['Motion Magic'],"['Tencent Penguin Pictures', 'China Literature Limited', 'Wanda Media']","['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']"
9,https://aniwaves.ru/watch/douluo-dalu-ii-jueshi-tangmen-79749,https://static.aniwaves.ru/resources/thumbnails/200x280/100/1b05614babe39f64315f1e1c6183d8b8.jpg,Soul Land 2: The Peerless Tang Clan,"A strange continent in another world.No magic, no battle qi, no martial arts, only martial spirits. Ten thousand years after the Tang clan was founded on the Douluo continent, the Tang clan has declined to the verge of extinction.A whole new generation of proud talents has been born. Will the new generation of the Seven monsters of Shrek be able to reestablish the Tang Clan and compose a new tale of greatness for the unrivaled Tang Clan?(Source: IMDB)",8.0,['Sparkly Key Animation Studio'],"['Tencent Penguin Pictures', 'Xuanshi Tangmen']","['Action', 'Adventure', 'Fantasy', 'Martial Arts']"
